failures,age,G2,G1,higher,school,goout,Mjob,Fjob,health,freetime,absences,Walc,famrel,Medu,Fedu,G3
0,16,A,A,yes,GP,4,health,teacher,4,4,0,3,2,4,4,1
1,17,F,F,yes,GP,3,at_home,services,5,4,14,4,4,3,4,0
0,16,F,F,yes,MS,2,at_home,other,5,3,6,3,4,1,1,0
0,16,D,D,yes,GP,2,services,services,5,3,0,4,4,3,3,0
0,17,C,C,yes,GP,3,teacher,other,4,3,0,3,3,4,4,0
2,19,D,F,no,GP,2,at_home,other,5,4,0,1,3,0,1,0
3,17,F,F,no,GP,1,other,other,3,5,0,1,4,2,1,0
0,19,C,B,yes,GP,4,health,other,2,3,2,3,2,4,4,0
0,18,B,B,yes,GP,4,health,other,4,2,0,1,4,4,4,1
0,17,C,D,yes,GP,4,other,teacher,1,1,2,1,4,4,4,0
0,16,C,B,yes,MS,5,other,other,5,2,8,5,4,4,3,0
0,17,F,D,yes,GP,5,other,other,1,4,16,4,3,4,3,0
0,16,F,D,yes,GP,3,services,services,3,3,0,2,3,1,2,0
1,16,D,F,yes,GP,3,at_home,other,2,3,4,3,5,3,3,0
0,18,F,F,yes,MS,1,teacher,other,5,3,0,1,5,4,2,0
0,16,D,D,yes,MS,5,at_home,other,5,5,0,4,4,1,1,0
1,17,C,D,yes,GP,2,other,at_home,3,1,6,1,4,3,1,0
1,19,F,F,no,MS,5,at_home,services,2,5,0,3,5,1,1,0
0,17,C,C,yes,GP,1,other,teacher,5,1,0,2,4,4,4,0
0,15,D,C,yes,MS,3,services,services,3,3,11,4,4,3,3,0
1,18,F,F,yes,GP,1,at_home,services,5,3,16,1,5,2,2,0
1,18,C,B,yes,GP,4,health,health,4,4,2,1,2,4,4,0
0,16,C,C,yes,GP,4,other,other,3,4,0,1,4,2,2,0
0,16,B,A,yes,GP,4,teacher,teacher,5,4,6,2,5,4,4,1
1,16,D,D,yes,GP,5,other,services,5,5,0,4,4,3,3,0
0,16,B,C,yes,GP,3,other,other,5,2,0,2,4,2,1,1
0,15,D,F,yes,MS,5,other,services,5,5,11,3,5,1,2,0
0,17,B,C,yes,MS,5,health,health,5,2,0,1,5,4,4,1
1,18,F,F,no,MS,3,services,other,5,3,2,3,5,1,1,0
0,18,D,D,yes,MS,4,at_home,services,1,1,8,5,4,1,2,0
0,17,B,B,yes,GP,4,at_home,services,5,3,2,5,4,3,4,1
0,16,F,F,yes,MS,3,other,other,1,1,0,3,3,3,1,0
0,16,D,F,no,GP,5,other,other,4,3,0,4,4,2,2,0
0,16,D,D,yes,GP,4,at_home,at_home,1,4,4,3,3,1,1,0
0,15,C,B,yes,GP,4,services,services,5,5,6,2,5,2,2,0
0,17,A,A,yes,GP,2,services,other,3,1,0,1,3,3,1,1
0,15,B,B,yes,GP,3,teacher,services,4,4,0,1,5,4,3,1
0,16,C,B,yes,GP,2,other,health,5,2,2,2,4,2,4,0
0,16,F,F,yes,MS,1,at_home,other,2,2,2,1,4,3,4,0
0,16,F,F,yes,GP,3,teacher,health,5,1,6,5,4,4,4,0
1,16,F,F,yes,MS,2,other,services,4,3,3,2,1,1,2,0
0,18,B,B,yes,MS,4,teacher,services,1,3,4,1,4,3,1,1
0,17,D,D,yes,MS,5,other,other,3,5,2,3,5,2,3,0
0,15,B,B,yes,GP,3,teacher,health,2,3,2,2,3,4,4,1
0,17,A,C,yes,GP,4,services,services,4,3,0,3,4,2,2,1
0,16,C,D,yes,MS,2,teacher,health,5,1,0,5,4,4,4,0
0,16,A,A,yes,GP,3,health,services,3,2,0,1,4,4,2,1
0,18,A,B,yes,GP,2,teacher,other,5,3,2,4,4,4,2,1
0,15,B,C,yes,GP,3,teacher,teacher,4,5,4,1,5,4,4,1
3,18,F,D,yes,GP,3,other,other,4,3,9,5,3,2,2,0
0,15,C,C,yes,GP,3,services,other,5,3,2,1,5,4,4,0
0,16,C,C,yes,MS,2,at_home,other,2,2,0,3,4,1,1,1
2,21,C,F,yes,GP,2,other,other,5,3,0,1,3,4,4,0
0,15,C,C,yes,MS,4,services,other,1,5,4,1,4,3,3,0
0,16,F,F,no,MS,5,at_home,other,3,4,0,3,4,1,2,0
0,15,D,F,yes,GP,2,teacher,services,3,2,6,1,2,4,3,0
0,17,F,F,no,GP,4,other,other,4,4,8,3,4,2,2,0
0,19,C,C,yes,MS,5,other,other,1,4,0,1,5,2,2,0
0,17,A,B,yes,GP,4,teacher,teacher,5,4,2,1,4,4,4,1
0,16,F,F,no,GP,2,teacher,teacher,5,3,16,1,3,4,4,0
1,19,F,F,no,MS,1,at_home,services,3,3,6,1,5,1,1,0
0,16,F,D,yes,GP,3,services,other,5,3,0,2,4,3,1,0
0,17,D,F,no,GP,2,other,services,4,2,0,1,5,2,2,0
0,15,C,C,yes,GP,2,other,other,4,3,2,3,4,1,1,0
2,18,F,F,yes,MS,4,other,other,5,4,3,2,3,1,1,0
0,15,F,D,yes,GP,2,other,other,5,3,2,2,5,2,3,0
1,18,F,F,no,MS,1,services,other,5,3,0,2,2,3,2,0
0,18,D,D,yes,MS,4,services,services,5,3,0,1,5,3,3,0
0,19,D,D,yes,GP,4,at_home,services,5,3,0,2,5,3,2,0
0,19,D,D,yes,GP,3,other,services,5,5,0,2,4,3,3,0
0,16,C,D,yes,GP,2,other,other,5,3,0,2,4,3,3,0
0,17,C,D,yes,GP,4,services,services,4,3,6,3,4,3,3,1
0,17,C,C,yes,GP,3,services,teacher,5,2,4,2,5,4,4,1
2,16,D,D,yes,GP,4,services,other,5,4,0,3,4,1,1,0
0,15,A,A,yes,GP,4,services,other,1,4,0,1,5,3,4,1
1,17,D,F,yes,GP,4,health,other,5,4,0,2,4,1,1,0
0,16,D,C,no,GP,5,other,other,5,3,4,2,5,1,2,0
0,18,D,F,yes,GP,4,at_home,teacher,3,3,4,1,4,4,4,0
1,17,F,F,no,GP,2,at_home,other,5,3,8,2,3,2,1,0
0,18,F,D,yes,GP,3,other,services,5,3,8,3,4,3,3,0
0,15,C,C,yes,GP,4,services,services,5,3,0,3,3,4,4,0
0,16,D,D,yes,GP,5,services,services,5,5,0,5,5,1,1,1
0,16,D,D,no,MS,3,at_home,other,5,3,11,3,4,1,3,0
0,15,B,B,yes,GP,1,services,services,5,3,2,1,4,4,4,1
0,17,C,C,yes,GP,3,other,other,4,3,0,2,4,1,1,0
2,19,F,F,yes,GP,4,other,other,4,3,2,1,5,1,1,0
0,16,F,F,yes,MS,3,services,services,4,4,6,4,5,2,2,0
0,15,B,C,yes,MS,1,teacher,other,5,5,0,5,1,4,4,1
0,16,A,A,yes,MS,2,at_home,services,5,5,0,2,4,2,3,1
0,17,A,A,yes,GP,2,at_home,at_home,1,5,2,2,3,1,2,1
0,16,C,B,yes,GP,3,services,services,4,3,0,3,4,2,2,0
0,18,D,F,no,MS,3,at_home,services,3,3,3,3,4,1,2,0
0,17,D,F,no,MS,5,other,other,3,5,8,5,5,2,1,0
0,16,C,D,yes,GP,2,other,other,5,3,0,4,4,0,2,0
0,15,C,C,yes,GP,4,other,other,1,3,0,4,5,3,3,0
0,18,B,B,yes,MS,1,services,other,4,2,5,1,4,2,2,1
0,15,C,C,yes,GP,4,services,services,2,4,0,4,4,4,3,0
2,18,F,F,no,MS,5,at_home,at_home,3,4,9,3,4,3,3,0
0,17,C,C,yes,GP,5,teacher,teacher,2,5,0,3,4,4,4,0
0,17,C,D,yes,GP,2,teacher,other,4,4,0,1,4,4,3,0
0,17,A,A,yes,MS,3,other,other,5,3,0,3,4,4,2,1
0,15,D,C,yes,GP,4,services,other,5,4,4,1,4,3,2,0
0,15,B,A,yes,GP,3,other,teacher,2,4,4,1,4,4,4,1
0,18,D,F,yes,MS,3,at_home,services,3,2,2,2,5,1,1,0
0,15,F,D,yes,GP,3,other,other,3,3,0,1,3,4,2,0
0,17,C,D,yes,GP,5,services,other,5,4,8,3,4,3,4,1
0,17,F,D,yes,GP,4,other,other,4,3,4,4,4,3,3,0
0,17,B,B,yes,GP,3,teacher,services,4,2,2,1,4,4,2,1
0,17,C,C,yes,GP,3,services,teacher,3,3,0,1,4,1,1,1
0,15,D,F,no,MS,1,at_home,other,4,2,0,3,5,1,1,0
1,20,F,D,yes,MS,4,at_home,services,3,3,8,4,3,3,3,0
0,15,D,C,yes,GP,4,other,other,5,3,2,4,3,1,1,0
0,17,D,D,yes,GP,1,teacher,services,5,3,2,4,5,4,4,0
0,16,D,D,yes,MS,3,services,services,5,1,1,2,5,4,4,0
0,15,D,D,no,GP,2,at_home,other,5,4,0,1,4,2,1,0
0,16,D,C,yes,GP,4,at_home,other,2,3,6,2,4,2,2,0
0,16,D,D,yes,MS,3,other,other,5,3,2,2,4,2,2,0
0,15,D,B,yes,MS,3,other,other,5,4,2,2,4,2,2,0
0,15,B,B,yes,GP,3,services,teacher,5,3,0,1,4,4,4,1
0,17,D,D,no,MS,5,at_home,at_home,4,5,3,2,3,1,1,0
0,17,C,C,yes,GP,2,other,other,5,4,0,4,4,2,1,0
0,18,D,D,yes,GP,3,teacher,services,1,2,0,2,4,4,3,0
0,16,D,C,yes,MS,2,other,other,1,3,0,1,4,1,1,0
0,16,D,D,yes,GP,4,teacher,other,3,3,16,5,3,3,3,0
0,15,D,D,yes,MS,4,at_home,other,3,2,2,5,4,1,3,0
0,16,F,D,yes,MS,3,other,other,5,4,2,1,5,2,1,0
0,16,B,B,yes,GP,5,other,other,4,4,0,1,4,3,3,1
0,15,D,C,yes,GP,3,teacher,other,1,4,0,1,3,4,0,0
0,18,B,B,yes,GP,2,services,other,2,1,2,3,3,4,3,1
1,18,F,F,no,MS,5,other,other,3,5,0,1,5,2,2,0
0,16,B,B,yes,GP,5,health,other,2,3,2,5,4,4,3,1
1,19,D,D,no,GP,3,at_home,other,5,2,16,4,2,2,3,0
0,17,C,C,yes,GP,4,services,other,5,4,6,3,4,2,2,0
0,17,C,D,yes,GP,3,other,other,2,2,2,2,4,2,1,1
0,17,F,D,yes,MS,5,other,other,4,4,1,1,4,1,0,0
0,19,F,F,no,MS,4,at_home,other,5,4,0,1,1,1,1,0
0,15,A,B,yes,GP,2,services,other,1,2,0,1,4,3,2,1
0,16,A,A,yes,GP,2,health,health,3,4,0,1,4,4,4,1
0,17,A,A,yes,GP,2,other,other,4,4,0,5,4,2,2,1
0,16,F,D,yes,GP,3,teacher,services,3,3,8,4,4,4,2,0
0,18,B,C,yes,MS,3,teacher,services,2,4,1,4,5,4,4,1
0,16,C,C,yes,GP,3,other,other,3,3,0,1,5,2,3,0
0,16,A,A,yes,MS,2,teacher,teacher,4,2,6,1,4,4,4,1
0,15,C,B,yes,GP,3,other,other,4,4,2,2,3,3,4,1
0,18,F,F,yes,GP,5,other,other,5,2,2,4,4,4,4,0
0,17,D,D,yes,MS,5,at_home,at_home,3,5,2,2,4,1,1,0
0,15,F,F,yes,GP,4,other,other,5,4,2,4,4,1,2,0
0,17,D,D,yes,GP,5,services,other,4,4,2,5,4,2,2,0
0,18,F,F,yes,MS,1,other,other,2,3,4,1,1,2,2,0
0,18,F,D,yes,MS,3,at_home,at_home,5,3,6,4,4,1,1,0
0,16,A,A,yes,GP,2,health,services,2,2,2,1,4,4,3,1
0,18,A,B,yes,MS,3,at_home,other,4,3,0,3,5,2,2,1
1,15,D,D,yes,MS,3,at_home,services,2,1,6,1,4,1,1,0
0,17,B,B,yes,GP,5,health,other,5,5,8,4,2,4,3,1
1,17,F,F,no,MS,5,other,other,1,3,12,5,5,1,2,0
0,17,C,C,yes,GP,3,health,other,3,3,10,3,3,3,3,1
1,19,F,F,yes,MS,2,other,services,5,3,0,3,4,1,1,0
0,17,C,D,yes,GP,4,other,other,5,3,2,3,4,4,2,1
1,17,F,F,no,MS,4,other,other,5,4,0,2,5,1,1,0
0,16,C,B,yes,GP,1,services,other,5,2,12,4,3,3,4,1
0,15,D,D,yes,GP,2,other,other,1,3,0,1,5,3,4,0
0,15,D,C,yes,GP,4,services,services,5,4,4,3,4,4,4,0
0,17,A,A,yes,GP,2,health,services,3,2,0,2,4,4,3,1
0,18,A,B,yes,GP,5,other,other,1,2,6,4,4,3,4,1
0,15,B,B,yes,GP,2,other,other,3,4,6,3,4,3,1,1
1,16,D,C,yes,GP,4,other,other,5,3,12,1,5,2,2,0
0,15,D,D,yes,MS,3,at_home,services,4,4,0,2,5,1,1,0
0,16,B,A,yes,GP,3,services,other,5,2,2,1,4,4,2,1
0,16,C,C,yes,GP,4,services,other,5,4,0,4,3,2,2,1
0,16,B,A,yes,GP,3,teacher,services,1,4,2,2,5,4,3,1
0,17,D,F,yes,GP,3,at_home,other,3,3,2,1,5,1,1,0
0,17,D,D,yes,MS,5,at_home,services,3,5,4,5,5,1,2,0
0,15,A,A,yes,GP,2,teacher,other,3,5,10,1,3,4,2,1
0,15,C,C,yes,GP,1,other,other,5,5,0,1,5,3,4,0
0,18,A,A,yes,MS,2,at_home,services,4,3,0,1,5,1,1,1
1,18,C,C,yes,MS,2,at_home,at_home,4,3,0,1,4,1,0,0
3,17,F,F,yes,MS,3,health,other,5,3,2,3,3,4,4,0
3,17,F,F,no,GP,2,services,services,2,5,10,1,4,3,2,0
1,15,F,F,yes,MS,3,other,services,2,4,4,2,4,1,1,0
0,17,B,C,yes,MS,2,other,other,1,1,0,2,4,3,2,0
1,17,F,F,yes,MS,4,health,other,3,5,4,3,4,3,3,0
0,20,C,D,no,GP,3,other,other,2,2,8,2,1,2,1,0
1,19,D,D,yes,MS,2,services,other,5,4,4,2,5,2,3,0
0,16,C,B,yes,GP,3,at_home,other,3,1,0,1,5,1,1,0
0,16,D,D,yes,GP,3,other,other,3,3,16,2,3,2,2,0
0,17,D,D,yes,GP,2,other,other,5,2,8,2,3,2,1,0
0,15,D,D,yes,GP,3,other,health,4,3,10,1,4,3,3,0
3,18,F,D,no,GP,5,services,other,5,4,10,3,5,2,1,0
0,19,D,F,yes,GP,4,other,other,4,3,10,4,5,2,1,0
0,18,B,A,yes,MS,4,at_home,other,5,3,0,4,4,1,2,1
0,16,D,C,yes,MS,3,other,other,2,2,0,2,3,0,2,0
2,16,F,F,yes,MS,5,services,at_home,1,5,8,1,2,3,2,0
0,18,D,D,yes,MS,2,other,other,4,3,4,2,4,1,1,0
0,20,B,D,yes,GP,2,other,other,3,2,8,3,3,1,1,1
0,18,D,D,yes,GP,5,other,other,5,5,0,4,4,2,2,0
1,17,D,D,yes,MS,4,at_home,other,5,5,0,2,4,3,2,0
0,15,D,F,yes,MS,2,at_home,other,2,4,0,3,4,2,1,0
0,16,D,F,yes,MS,4,other,other,1,2,8,2,1,4,1,0
0,15,C,D,yes,GP,2,health,health,5,4,0,1,5,4,4,0
0,18,B,C,yes,GP,5,other,other,2,4,0,2,4,4,3,1
0,18,C,D,yes,GP,2,services,other,1,1,4,2,3,3,2,0
0,17,B,B,yes,MS,3,services,other,5,2,0,2,1,3,2,1
1,17,F,D,yes,MS,5,services,services,3,3,2,5,1,2,2,0
0,17,D,D,yes,GP,5,at_home,services,5,2,0,2,4,2,1,0
0,16,C,C,yes,MS,1,other,teacher,3,3,0,1,4,4,4,0
0,16,C,C,yes,GP,1,teacher,other,5,5,0,3,4,4,2,1
0,15,C,C,yes,GP,3,teacher,other,3,4,0,2,5,4,3,0
0,16,C,B,yes,MS,4,other,services,2,3,1,1,5,2,2,1
0,18,F,D,yes,GP,3,other,other,2,3,0,1,4,2,2,0
0,15,C,D,yes,GP,2,services,other,4,2,0,1,5,2,1,0
0,18,D,F,yes,GP,2,at_home,other,3,3,2,5,4,2,1,0
0,18,B,B,yes,GP,2,services,other,4,4,0,1,5,3,2,1
1,18,F,F,no,GP,3,other,at_home,1,4,26,2,4,2,2,0
0,18,D,F,yes,MS,5,other,other,5,5,8,5,2,3,2,0
0,18,B,C,yes,GP,5,other,other,2,3,9,4,4,3,4,1
0,16,F,F,yes,MS,3,services,at_home,3,1,2,4,3,3,2,0
0,17,D,D,yes,MS,3,other,at_home,3,4,8,1,3,2,2,0
1,16,D,F,yes,MS,3,other,services,3,4,1,4,4,2,2,0
1,17,F,D,yes,MS,5,other,other,5,4,0,2,4,2,2,0
2,18,F,D,no,GP,5,other,other,4,3,0,5,2,1,1,0
0,16,C,D,yes,GP,3,other,other,4,4,4,3,4,2,3,0
0,16,D,D,yes,MS,4,at_home,other,5,4,6,4,3,1,1,0
0,17,C,B,yes,GP,3,health,other,3,2,0,2,3,4,3,0
0,17,D,D,yes,GP,2,at_home,at_home,4,3,10,2,4,1,1,0
0,18,A,A,yes,MS,4,teacher,teacher,2,2,4,4,3,4,4,1
0,17,C,B,yes,GP,3,other,other,1,3,32,3,5,3,3,1
0,16,D,C,yes,GP,3,other,services,1,3,8,2,3,1,1,0
0,16,D,D,yes,MS,3,other,other,5,3,0,1,4,1,2,0
0,16,C,C,yes,GP,4,health,other,5,4,4,4,3,4,4,0
0,16,C,C,yes,MS,4,other,other,5,4,0,1,4,2,2,0
0,18,A,A,yes,GP,5,other,services,2,5,10,3,4,2,3,1
0,17,F,F,yes,MS,4,teacher,other,1,5,0,1,5,4,3,0
0,18,D,C,yes,GP,4,other,other,3,4,10,1,4,2,1,0
0,18,D,C,yes,GP,4,services,other,5,4,10,4,4,2,2,0
0,15,C,D,yes,GP,4,services,health,4,3,2,1,4,2,2,0
0,16,D,D,yes,GP,3,services,other,4,3,2,2,2,3,1,0
0,16,A,B,yes,GP,3,other,other,4,3,7,1,4,2,1,1
0,15,C,C,yes,GP,3,services,services,4,3,2,3,5,2,2,0
0,18,A,A,yes,GP,3,services,other,5,3,6,3,4,3,4,1
0,15,F,F,yes,GP,4,at_home,services,1,4,0,1,4,2,3,0
0,15,C,B,yes,GP,1,at_home,other,2,3,8,1,4,2,2,0
0,15,C,C,yes,GP,2,at_home,other,1,1,4,1,3,1,1,0
0,17,D,D,yes,GP,2,services,services,3,3,0,2,3,2,2,0
0,18,C,D,yes,GP,3,other,at_home,3,4,4,3,4,1,1,1
1,18,D,D,yes,GP,3,services,other,3,3,18,1,4,2,4,0
0,17,F,F,yes,MS,5,other,other,1,5,4,3,3,1,2,0
0,18,B,B,yes,GP,4,other,other,5,3,2,1,4,4,3,1
0,16,C,D,yes,MS,3,other,services,1,4,0,1,5,2,2,0
0,16,B,B,yes,GP,5,teacher,teacher,4,5,8,5,3,4,4,1
0,17,D,D,yes,GP,4,other,services,5,3,4,2,4,1,1,0
0,16,C,C,yes,GP,2,at_home,other,5,3,2,4,4,1,1,0
0,17,C,D,yes,GP,3,health,other,4,4,0,3,4,4,3,0
0,16,C,C,yes,GP,3,other,other,2,3,0,3,3,3,1,0
0,16,C,C,yes,GP,4,other,other,1,3,4,2,5,4,4,0
0,15,D,D,yes,GP,2,health,services,5,4,0,4,5,4,4,0
0,17,D,C,yes,GP,1,services,other,3,2,6,2,5,4,4,0
0,15,C,C,yes,GP,1,services,services,3,2,2,3,4,3,3,0
0,16,D,C,yes,GP,3,services,services,2,3,4,2,2,2,2,0
0,17,F,F,yes,MS,4,at_home,other,1,5,10,3,4,3,1,0
0,16,B,C,yes,GP,3,teacher,services,1,3,2,1,5,4,2,1
0,18,C,D,yes,MS,5,services,services,3,4,0,4,5,2,2,0
1,17,F,F,yes,GP,4,other,other,5,5,14,1,5,1,4,0
0,15,C,C,yes,MS,4,health,services,2,3,0,2,5,4,1,1
0,16,D,C,yes,GP,2,at_home,other,3,2,4,2,4,2,2,0
0,16,C,C,yes,GP,5,other,other,5,3,0,1,4,2,1,0
0,15,D,D,yes,GP,3,teacher,other,5,4,8,4,5,4,4,0
0,17,C,F,no,MS,5,other,other,5,5,0,5,5,2,2,0
0,18,A,A,yes,GP,4,other,other,4,2,2,2,5,2,1,1
1,16,D,F,yes,GP,4,at_home,other,5,4,6,5,4,2,1,0
3,17,F,F,yes,MS,4,other,other,5,4,2,1,5,3,1,0
0,17,A,A,yes,GP,5,other,services,5,3,0,5,4,3,3,1
0,17,C,C,yes,MS,3,teacher,services,5,3,2,2,4,4,4,0
0,17,A,C,yes,GP,5,services,other,4,3,4,4,4,2,1,1
0,18,C,B,yes,GP,5,teacher,other,5,4,0,3,5,4,3,1
0,15,D,D,yes,GP,4,at_home,services,1,3,6,4,2,1,2,0
0,15,C,C,yes,GP,2,at_home,other,5,3,6,1,4,1,2,0
0,17,C,C,yes,GP,2,other,other,3,3,21,2,5,2,2,0
0,18,A,B,yes,GP,4,services,other,4,1,10,3,4,2,2,1
1,17,B,B,yes,GP,4,services,teacher,2,2,30,3,4,4,4,1
0,17,C,D,yes,MS,3,services,services,4,4,0,1,4,3,3,0
0,16,C,C,yes,GP,1,services,teacher,3,3,0,1,2,2,3,1
0,16,F,F,yes,GP,1,at_home,other,2,2,4,1,3,2,1,0
0,15,D,D,yes,MS,3,at_home,at_home,5,3,0,1,5,3,3,0
0,16,F,F,no,MS,4,other,other,1,3,6,2,4,2,2,0
0,16,D,D,yes,GP,3,other,services,5,3,4,4,4,3,3,0
1,17,D,D,yes,MS,5,services,other,2,5,4,3,4,4,3,0
0,16,D,F,yes,GP,2,other,other,5,5,4,1,4,2,1,0
0,15,B,B,yes,GP,3,at_home,services,1,2,0,2,3,1,2,1
1,16,F,F,no,GP,3,at_home,services,2,3,2,4,5,1,3,0
0,17,F,F,no,MS,3,other,at_home,3,2,5,2,4,3,1,0
0,17,D,D,yes,GP,4,teacher,other,4,4,0,4,4,4,3,0
0,16,B,B,yes,GP,5,teacher,other,3,4,7,1,5,4,3,1
0,18,C,C,yes,GP,4,other,other,4,4,0,1,5,1,1,0
1,17,F,F,yes,MS,1,other,other,5,2,0,3,1,2,2,0
1,18,F,F,yes,MS,3,other,other,3,4,0,3,5,4,2,0
0,17,B,B,yes,GP,2,other,other,3,4,4,1,5,3,2,1
0,17,B,B,yes,GP,4,health,health,5,3,2,2,5,4,4,1
0,16,C,C,yes,GP,5,other,services,3,3,6,4,2,3,3,0
0,18,F,F,yes,MS,3,teacher,at_home,5,4,4,2,4,4,4,0
2,18,F,F,yes,MS,3,at_home,other,5,3,2,1,4,1,2,0
0,16,C,C,yes,GP,2,services,other,5,4,6,2,5,4,3,0
0,18,B,B,yes,GP,5,other,other,2,5,0,2,4,1,1,1
0,15,D,D,yes,GP,2,services,teacher,5,2,0,2,4,3,4,0
0,16,C,C,yes,GP,3,services,services,2,2,10,2,3,4,4,1
0,17,C,B,yes,GP,3,other,other,4,2,2,1,3,3,3,0
0,17,C,C,yes,MS,2,other,services,3,2,0,2,3,1,2,0
0,18,A,A,yes,GP,3,at_home,at_home,2,3,0,2,4,2,2,1
0,17,F,D,yes,GP,5,at_home,other,5,4,2,4,5,3,4,0
0,18,D,D,yes,GP,4,services,services,4,3,8,1,5,3,3,0
2,20,B,B,yes,GP,3,services,other,5,5,0,1,5,3,2,1
2,21,D,F,no,GP,3,at_home,other,4,3,21,2,5,1,1,0
0,18,D,D,no,GP,4,at_home,other,4,4,10,4,3,1,2,0
0,17,A,A,yes,MS,3,other,other,4,3,0,2,4,4,2,1
0,16,C,C,yes,GP,3,services,services,2,3,6,1,4,2,3,0
1,18,D,D,no,GP,5,services,other,5,4,4,4,4,2,1,0
0,19,D,D,yes,GP,3,services,services,5,3,0,1,4,2,2,0
0,16,D,D,yes,GP,2,teacher,teacher,3,5,0,2,4,4,4,0
0,17,B,B,yes,GP,2,services,services,5,3,8,1,4,2,4,1
0,17,D,D,yes,GP,4,at_home,services,5,4,16,5,4,1,2,0
0,15,F,D,yes,GP,2,health,services,5,4,4,1,5,2,1,0
0,16,A,B,yes,MS,3,health,teacher,2,3,0,3,4,4,4,1
0,18,A,A,yes,MS,5,services,other,5,4,3,1,5,4,4,1
0,16,B,B,yes,GP,2,services,services,5,3,4,2,5,4,4,1
